□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20200701 ~ 20200731,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 전라북도,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
전라북도 군산시 나운동,835,835,0,주공3차,54.77,202007,2,"9,400",4,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,48.6,202007,2,"9,500",5,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,55.8,202007,3,"11,000",4,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,55.8,202007,3,"11,000",3,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,65.2,202007,4,"11,900",2,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,65.99,202007,5,"11,000",1,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,48.6,202007,6,"9,800",1,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,54.77,202007,6,"9,700",5,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,54.77,202007,6,"10,000",2,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,48.6,202007,6,"9,200",2,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,65.99,202007,6,"10,000",3,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,48.6,202007,8,"10,000",1,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,54.77,202007,8,"6,200",5,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,54.38,202007,8,"9,800",4,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,65.99,202007,8,"12,000",5,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,54.12,202007,8,"9,000",2,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,48.6,202007,9,"9,600",3,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,48.6,202007,9,"9,600",3,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,47.57,202007,10,"7,400",1,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,55.8,202007,13,"11,300",5,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,65.99,202007,14,"7,000",4,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,54.77,202007,14,"7,450",3,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,48.6,202007,20,"8,000",2,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,55.8,202007,21,"10,500",2,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,54.12,202007,21,"9,500",1,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,48.6,202007,23,"8,500",5,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,48.6,202007,24,"6,900",5,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,55.8,202007,24,"7,600",2,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,54.12,202007,24,"7,400",3,1983,하나운안1길 40
전라북도 군산시 나운동,Jul-45,45,7,주공5차,58.14,202007,1,"5,900",9,1995,백토로 117
전라북도 군산시 나운동,Jul-45,45,7,주공5차,58.14,202007,3,"5,800",5,1995,백토로 117
전라북도 군산시 나운동,Jul-45,45,7,주공5차,49.69,202007,6,"5,700",5,1995,백토로 117
전라북도 군산시 나운동,Jul-45,45,7,주공5차,58.14,202007,6,"6,300",3,1995,백토로 117
전라북도 군산시 나운동,Jul-45,45,7,주공5차,58.14,202007,9,"6,300",6,1995,백토로 117
전라북도 군산시 나운동,Jul-45,45,7,주공5차,58.14,202007,18,"6,400",7,1995,백토로 117
전라북도 군산시 나운동,Jul-45,45,7,주공5차,58.14,202007,20,"6,050",7,1995,백토로 117
전라북도 군산시 나운동,Jul-45,45,7,주공5차,58.14,202007,24,"6,000",4,1995,백토로 117
전라북도 군산시 나운동,161,161,0,청솔,49.65,202007,2,"4,750",11,2002,나운로 133
전라북도 군산시 나운동,161,161,0,청솔,49.65,202007,14,"5,450",10,2002,나운로 133
전라북도 군산시 나운동,161,161,0,청솔,49.65,202007,15,"4,800",8,2002,나운로 133
전라북도 군산시 나운동,161,161,0,청솔,49.65,202007,20,"4,700",11,2002,나운로 133
전라북도 군산시 나운동,161,161,0,청솔,49.65,202007,25,"4,700",4,2002,나운로 133
